Title,Rating,Expert Rating,Location,Price Per Night,Distance From City,Facilities,Country
Emirates Grand Hotel Dubai,4 Star Hotel,8.5,Dubai,"5,000",1 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Pearl Marina Hotel Apartments Dubai,3 Star Hotel,8.5,Dubai,"5,000",23 km from City Center,"['Free Parking', 'Outdoor Pool', 'Air-Conditioned', 'Room Service']",Dubai
Grand Central Hotel Dubai,4 Star Hotel,8.5,Dubai,"5,000",6 km from City Center,"['Outdoor Pool', 'Laundry Service', 'Room Service']",Dubai
Manzil Downtown Dubai,4 Star Hotel,8.5,Dubai,"5,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Ac Pearl Holiday Apartments Dubai,5 Star Hotel,8.5,Dubai,"15,000",20 km from City Center,"['Free Parking', 'Free Wi-Fi', 'Outdoor Pool', 'Fitness Center']",Dubai
Delmon Hotel Dubai,3 Star Hotel,8.5,Dubai,"5,000",18 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Park Island   Dubai Marina   Emaar,3 Star Hotel,8.5,Dubai,"10,000",22 km from City Center,"['Outdoor Pool', 'Free Parking']",Dubai
Dubai Youth Hostel,2 Star Hotel,8.4,Dubai,"5,000",10 km from City Center,['Restaurant'],Dubai
Fortune Plaza Hotel Dubai,3 Star Hotel,8.3,Dubai,"20,000",11 km from City Center,"['Free Wi-Fi', 'Laundry Service', 'Outdoor Pool']",Dubai
Regent Palace Hotel Dubai,4 Star Hotel,8.3,Dubai,"20,000",4 km from City Center,['Fitness Center'],Dubai
Chelsea Plaza Dubai,3 Star Hotel,8.3,Dubai,"5,000",1 km from City Center,"['Restaurant', 'Outdoor Pool']",Dubai
Capitol Hotel Dubai,4 Star Hotel,8.3,Dubai,"5,000",2 km from City Center,"['Outdoor Pool', 'Restaurant']",Dubai
Sheraton Jumeirah Beach Resort Dubai,5 Star Hotel,8.3,Dubai,"5,000",19 km from City Center,"['Free Parking', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Sheraton Grand Hotel Dubai,5 Star Hotel,8.3,Dubai,"5,000",24 km from City Center,"['Free Parking', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Dubai
Anantara The Palm Dubai Resort,5 Star Hotel,8.3,Dubai,"5,000",17 km from City Center,"['Restaurant', 'Fitness Center']",Dubai
Broadway Hotel Dubai,3 Star Hotel,8.3,Dubai,"15,000",5 km from City Center,"['Free Parking', 'Laundry Service']",Dubai
City Stay Prime Hotel Apartment Dubai,4 Star Hotel,8.3,Dubai,"20,000",15 km from City Center,"['Outdoor Pool', 'Free Parking', 'Laundry Service']",Dubai
Dukes Hotel Dubai,5 Star Hotel,8.3,Dubai,"5,000",19 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Air-Conditioned', 'Laundry Service']",Dubai
Royal Central Hotel The Palm Dubai,5 Star Hotel,8.3,Dubai,"10,000",18 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Grand Square Hotel Dubai,2 Star Hotel,8.3,Dubai,"15,000",27 km from City Center,"['Restaurant', 'Laundry Service']",Dubai
Radisson Blu Residence Dubai Marina,5 Star Hotel,8.3,Dubai,"5,000",22 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Royal Continental Hotel Dubai,4 Star Hotel,8.3,Dubai,"20,000",3 km from City Center,"['Outdoor Pool', 'Laundry Service']",Dubai
Dream Land Hotel Dubai,1 Star Hotel,8.3,Dubai,"5,000",6 km from City Center,"['Air-Conditioned', 'Laundry Service']",Dubai
Jumeirah Emirates Towers Hotel Dubai,5 Star Hotel,8.3,Dubai,"5,000",24 km from City Center,"['Outdoor Pool', 'Restaurant']",Dubai
Green Future Holiday Homes Dubai,3 Star Hotel,8.3,Dubai,"10,000",21 km from City Center,['Air-Conditioned'],Dubai
Imperial Suites Hotel,3 Star Hotel,8.0,Dubai,"10,000",3 km from City Center,,Dubai
Panorama Grand Hotel Dubai,3 Star Hotel,8.0,Dubai,"5,000",3 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Wyndham Dubai Marina Hotel,4 Star Hotel,8.0,Dubai,"10,000",23 km from City Center,"['Air-Conditioned', 'Laundry Service', 'Room Service', 'Restaurant']",Dubai
Marina View Hotel Apartments Dubai,4 Star Hotel,8.0,Dubai,"5,000",22 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Mayfair Hotel Dubai,3 Star Hotel,8.0,Dubai,"5,000",6 km from City Center,['Restaurant'],Dubai
Cayan Tower Hotel Dubai,3 Star Hotel,8.0,Dubai,"10,000",21 km from City Center,"['Outdoor Pool', 'Free Parking', 'Fitness Center']",Dubai
Park Regis Kris Kin Hotel Dubai,3 Star Hotel,8.0,Dubai,"20,000",3 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Voyage Hotel Dubai,3 Star Hotel,8.0,Dubai,"5,000",13 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Laundry Service']",Dubai
Hilton Al Mina Dubai,4 Star Hotel,8.0,Dubai,"15,000",2 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Dubai
